,Unnamed: 0,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,right_ascension,declination
4017,4017,Tau Ceti e,12,3.93 Earths,3.5,2017,Super Earth,1.81 x Earth,0.538 AU,162.9 days,0.18,tau Cet,Radial Velocity,,01h44m04.08s,-15d56m14.9s
4018,4018,Tau Ceti f,12,3.93 Earths,3.5,2017,Super Earth,1.81 x Earth,1.334 AU,1.7 years,0.16,tau Cet,Radial Velocity,,01h44m04.08s,-15d56m14.9s
4019,4019,Tau Ceti g,12,1.75 Earths,3.5,2017,Super Earth,1.18 x Earth,0.133 AU,20 days,0.06,tau Cet,Radial Velocity,,01h44m04.08s,-15d56m14.9s
4020,4020,Tau Ceti h,12,1.83 Earths,3.5,2017,Super Earth,1.19 x Earth,0.243 AU,49.4 days,0.23,tau Cet,Radial Velocity,,01h44m04.08s,-15d56m14.9s
4023,4023,Teegarden's Star b,12,1.05 Earths,15.08,2019,Super Earth,1.02 x Earth,0.0252 AU,4.9 days,0,Teegarden's Star,Radial Velocity,,02h53m00.89s,+16d52m52.64s
4024,4024,Teegarden's Star c,12,1.11 Earths,15.08,2019,Super Earth,1.04 x Earth,0.0443 AU,11.4 days,0,Teegarden's Star,Radial Velocity,,02h53m00.89s,+16d52m52.64s
4042,4042,TOI-270 b,73,2.09 Earths,12.62,2019,Super Earth,1.247 x Earth,0.0306 AU,3.4 days,0,TOI-270,Transit,88.65,04h33m39.72s,-51d57m22.44s
4043,4043,TOI-270 c,73,6.44 Earths,12.62,2019,Neptune-like,0.216 x Jupiter,0.0472 AU,5.7 days,0,TOI-270,Transit,89.53,04h33m39.72s,-51d57m22.44s
4044,4044,TOI-270 d,73,5.18 Earths,12.62,2019,Neptune-like,2.13 x Earth,0.0733 AU,11.4 days,0,TOI-270,Transit,89.69,04h33m39.72s,-51d57m22.44s
4054,4054,TRAPPIST-1 b,41,0.85 Earths,18.8,2016,Super Earth,1.086 x Earth,0.01111 AU,1.5 days,< 0.081,TRAPPIST-1,Transit,89.65,23h06m29.28s,-05d02m28.6s
